"data_hora","modalidade","ronda","tipo","titulo","ano","rating_real","palpite_j1","palpite_j2","erro_j1","erro_j2","vencedor_ronda"
"2025-10-26 22:25:49.129128","Misto",2,"Filme","The_Lives_of_Others","-2006",8.4,9,8,0.6,0.4,"Maria"
"2025-10-26 22:25:51.227734","Misto",3,"Série","One_Piece","(1999até_)",8.8,8,9,0.800000000000001,0.199999999999999,"Maria"
"2025-10-26 22:25:53.345652","Misto",4,"Série","Jessica_Jones","2015",7.8,9,8,1.2,0.2,"Maria"
"2025-10-26 22:25:55.793233","Misto",5,"Filme","Come_and_See","-1985",8.3,8,9,0.300000000000001,0.699999999999999,"Ana"
"2025-10-26 22:26:33.34534","Misto",1,"Série","Ozark","(2017até2022)",8.4,8,9,0.4,0.6,"Ana"
"2025-10-26 22:26:34.573434","Misto",2,"Série","The_Marvelous_Mrs._Maisel","(2017até_)",8.7,9,8,0.300000000000001,0.699999999999999,"Ana"
"2025-10-26 22:26:41.374002","Misto",3,"Série","Arcane","(2021até_)",9.2,8,9,1.2,0.199999999999999,"Maria"
"2025-10-26 22:26:43.622046","Misto",4,"Série","Homeland","(2011até2020)",8.3,9,8,0.699999999999999,0.300000000000001,"Maria"
"2025-10-26 22:26:45.111829","Misto",5,"Série","Community","(2009até2015)",8.5,8,9,0.5,0.5,"empate"
"2025-10-26 22:26:46.383455","Misto",6,"Série","Demon_Slayer:_Kimetsu_no_Yaiba","(2019até_)",8.7,9,8,0.300000000000001,0.699999999999999,"Ana"
"2025-10-26 22:26:47.622829","Misto",7,"Filme","Like_Stars_on_Earth","-2007",8.4,8,9,0.4,0.6,"Ana"
"2025-10-26 22:26:48.893871","Misto",8,"Filme","The_Dark_Knight","-2008",9,9,8,0,1,"Ana"
"2025-10-26 22:26:50.116323","Misto",9,"Filme","Apocalypse_Now","-1979",8.4,8,9,0.4,0.6,"Ana"
"2025-10-26 22:26:51.200223","Misto",10,"Filme","The_Godfather","-1972",9.2,9,8,0.199999999999999,1.2,"Ana"
"2025-10-26 22:28:07.570315","Misto",1,"Série","Naruto","(2002até2007)",8.3,9,6,0.699999999999999,2.3,"Nuno"
"2025-10-26 22:28:14.87203","Misto",2,"Série","Better_Call_Saul","(2015até2022)",8.8,9.2,9,0.399999999999999,0.199999999999999,"Maria"
"2025-10-26 22:28:29.133247","Misto",1,"Filme","The_Intouchables","-2011",8.5,8,9,0.5,0.5,"empate"
"2025-10-26 22:28:30.728207","Misto",2,"Série","Santa_Inc.","2021",1.9,9,8,7.1,6.1,"Maria"
